勤務区分ID,並び順,勤務区分名,表示名,勤務/休日・休暇,勤務時間_開始_,前日_勤務時間_開始__,勤務時間_終了_,翌日_勤務時間_終了__,初期表示_勤務時間_,休憩1_開始_,翌日_休憩1_開始__,休憩1_終了_,翌日_休憩1_終了__,初期表示_休憩1_,休憩2_開始_,翌日_休憩2_開始__,休憩2_終了_,翌日_休憩2_終了__,初期表示_休憩2_,所定時間,深夜時間_開始_,翌日_深夜時間_開始__,深夜時間_終了_,翌日_深夜時間_終了__,みなし時間,みなし時間_開始_,翌日_みなし時間_開始__,シフト,シフトカラー,備考,総労働時間,所定内労働時間,時間外労働の計算,法定内時間外労働時間,法定時間外労働時間,マイナス可_法定時間外労働時間_,法定外休日労働時間,法定休日労働時間,深夜労働時間,遅刻時間,早退時間,所定始業時刻前の勤務,所定終業時刻後の勤務,出勤日数,欠勤日数,公休日数,有給休暇日数,子の看護等休暇日数,介護休暇日数,振替休日日数,振替休日残数,特別休暇日数,代休日数,代休残数,休職日数,この項目の日数を集計する
2,0,公休,公休,休日・休暇,,0,,0,しない,,,,0,する,,0,,0,する,,,0,,0,,,,オフ,,,含めない,含めない,総労働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含めない,含めない,0,含めない,1,0,0,0,0,0,0,0,0,含めない,集計しない
3,1,振替出勤,振出,勤務,09:00,0,18:00,0,しない,12:00,0,13:00,0,する,,0,,0,する,08:00,22:00,0,05:00,1,,,,オフ,,,実働＋みなし時間,通常時間管理,総労働時間,含める,8時間超,不可,含めない,含めない,含める,含める,含める,含める,含める,1,含めない,0,0,0,0,0,1,0,0,0,含めない,集計しない
4,2,振替休暇,振休,休日・休暇,,0,,0,しない,,0,,0,する,,0,,0,する,,,0,,0,,,,オフ,,,含めない,含めない,総労働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含めない,含めない,0,含めない,0,0,0,0,1,0,0,0,0,含めない,集計しない
5,3,有給休暇,有休,休日・休暇,,0,,0,しない,,0,,0,する,,0,,0,する,,,0,,0,08:00,,,オフ,,,実働＋みなし時間,通常時間管理,総労働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含めない,含めない,0,含めない,0,1,0,0,0,0,0,0,0,含めない,集計する
12,4,休職,休職,休日・休暇,,0,,0,しない,,,,0,する,,0,,0,する,,,0,,0,,,,オフ,,,含めない,含めない,総労働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含めない,含めない,0,含めない,0,0,0,0,0,0,0,0,0,含める,集計しない
13,5,在籍なし,在籍なし,その他,,0,,0,しない,,,,0,する,,0,,0,する,,,0,,0,,,,オフ,,,含めない,含めない,総労働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含めない,含めない,0,含めない,0,0,0,0,0,0,0,0,0,含めない,集計しない
40,24,中野店 早番8.0h,中野店 早番8.0h,勤務,14:30,0,23:30,0,する,18:00,,19:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含める,含めない,不可,含めない,含めない,含めない,含める,含める,含めない,含めない,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
44,30,中野店 遅番8.0h,中野店 遅番8.0h,勤務,16:00,0,01:00,1,する,20:00,,21:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含める,含めない,不可,含めない,含めない,含めない,含める,含める,含めない,含めない,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
65,47,[短縮営業] 中野店 早番6.5h,"",勤務,12:30,0,20:00,0,する,16:00,,17:00,0,する,,0,,0,する,06:30,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
77,59,高田馬場本店 早番,"",勤務,13:30,0,22:30,0,する,16:00,,17:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,1,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
78,60,高田馬場本店 遅番,"",勤務,16:00,0,01:00,1,する,19:00,,20:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,1,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
79,61,高田馬場本店 中番,"",勤務,14:30,0,23:30,0,する,17:00,,18:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,1,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
80,62,高田馬場本店 オーラス,"",勤務,13:30,0,01:00,1,する,,,,0,する,,0,,0,する,11:30,,0,,0,,,,オン,1,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
81,63,中野店 早番,"",勤務,13:30,0,22:30,0,する,16:00,,17:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
82,64,中野店 遅番,"",勤務,16:00,0,01:00,1,する,19:00,,20:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
83,65,中野店 中番,"",勤務,14:30,0,23:30,0,する,17:00,,18:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
84,66,中野店 オーラス,"",勤務,13:30,0,01:00,1,する,,,,0,する,,0,,0,する,10:30,,0,,0,,,,オン,3,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
85,67,高田馬場2号店 早番,"",勤務,13:30,0,22:30,0,する,16:00,,17:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,4,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
86,68,高田馬場2号店 遅番,"",勤務,16:00,0,01:00,1,する,19:00,,20:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,4,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
87,69,高田馬場2号店 中番,"",勤務,14:30,0,23:30,0,する,17:00,,18:00,0,する,,0,,0,する,08:00,,0,,0,,,,オン,4,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
88,70,高田馬場2号店 オーラス,"",勤務,13:30,0,01:00,1,する,,,,0,する,,0,,0,する,09:30,,0,,0,,,,オン,4,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
89,71,倉庫業務,"",勤務,12:00,0,16:00,0,する,,,,0,する,,0,,0,する,04:00,,0,,0,,,,オン,6,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,1,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
90,72,会議等,"",勤務,12:00,0,01:00,1,する,,,,0,する,,0,,0,する,03:00,,0,,0,,,,オン,10,"",実働のみ,通常時間管理,実働時間,含めない,含めない,不可,含めない,含めない,含めない,含めない,含めない,含める,含める,0.5,含めない,0,0,0,0,0,0,0,0,0,含めない,集計する
